actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.1979798972606659
0.15276455879211426,0.19679082930088043
0.15529286861419678,0.19561903178691864
0.15776026248931885,0.19445882737636566
0.1601690798997879,0.19330833852291107
0.15519747138023376,0.19211013615131378
0.1531791090965271,0.19091148674488068
0.1467219442129135,0.18968772888183594
0.13588865101337433,0.18841682374477386
0.12945690751075745,0.18712177872657776
0.11864502727985382,0.18577492237091064
0.10351292043924332,0.18434618413448334
0.0841178223490715,0.18280288577079773
0.06923216581344604,0.18117569386959076
0.05006934329867363,0.17944398522377014
0.026684356853365898,0.17756575345993042
0.003488851711153984,0.17555780708789825
0.0,0.1734502613544464
0.0,0.17118334770202637
0.0,0.16872751712799072
0.0,0.1660870462656021
0.0,0.16330504417419434
0.0,0.16037027537822723
0.0,0.15730547904968262
0.0,0.15410839021205902
0.0,0.15080635249614716
0.0,0.14737457036972046
0.0,0.1438208520412445
0.0,0.14020971953868866
0.0,0.13271701335906982
0.0,0.1288735568523407
0.0,0.12495187669992447
0.0,0.1209692507982254
0.0,0.1169782355427742
0.0,0.11292819678783417
0.0,0.10886257886886597
0.0,0.10481387376785278
0.0,0.10074557363986969
0.0,0.09668749570846558
0.0,0.09264274686574936
0.0,0.08860782533884048
0.0,0.08458145707845688
0.0,0.08059543371200562
0.0,0.07671067118644714
0.0,0.0729566216468811
0.0,0.0693606361746788
0.0,0.06588388234376907
0.0,0.06252133101224899
0.0,0.05926954001188278
0.0,0.05612407624721527
0.0,0.05311284959316254
0.0,0.05019880831241608
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12675346434116364
0.0,0.12570179998874664
0.00997406430542469,0.12479623407125473
0.022319070994853973,0.12400039285421371
0.043141577392816544,0.12337431311607361
0.05925390496850014,0.12288008630275726
0.075090691447258,0.12251444160938263
0.09938178211450577,0.12233563512563705
0.11894083023071289,0.12230724841356277
0.1294858455657959,0.12235899269580841
0.15294551849365234,0.12258253246545792
0.1629919409751892,0.12287997454404831
0.17725719511508942,0.12327918410301208
0.19132819771766663,0.12377650290727615
0.20085477828979492,0.1243368610739708
0.20590564608573914,0.12492469698190689
0.2109055519104004,0.12554188072681427
0.22021591663360596,0.12621787190437317
0.2207016497850418,0.12688659131526947
0.22556547820568085,0.12758155167102814
0.2260282337665558,0.12826961278915405
0.22215233743190765,0.12891513109207153
0.21835651993751526,0.129524365067482
0.20591920614242554,0.13003064692020416
0.20239366590976715,0.13050512969493866
0.1858556866645813,0.13084912300109863
0.17391927540302277,0.1310998648405075
0.1577950268983841,0.13123153150081635
0.13753558695316315,0.13120973110198975
0.11754992604255676,0.1310393065214157
0.09782540798187256,0.13072974979877472
0.07399089634418488,0.13024774193763733
0.04609508067369461,0.12957319617271423
0.018543172627687454,0.1287081241607666
3.7017241993453354e-05,0.12772120535373688
0.0,0.12639307975769043
0.0,0.12483018636703491
0.0,0.12300647795200348
0.0,0.12096201628446579
0.0,0.1188340038061142
0.0,0.11636640876531601
0.0,0.11373095959424973
0.0,0.11089718341827393
0.0,0.10787296295166016
0.0,0.10479375720024109
0.0,0.10140083730220795
0.0,0.0978335291147232
0.0,0.09412826597690582
0.0,0.09028858691453934
0.0,0.08635111898183823
0.0,0.08231721818447113
0.0,0.07818953692913055
0.0,0.07409895956516266
0.0,0.07010812312364578
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12202763557434082
0.0,0.11984100937843323
0.0,0.1178002655506134
0.0,0.11590071022510529
0.0,0.11413571983575821
0.0,0.11250142008066177
0.0,0.11102522164583206
0.0,0.10970141738653183
0.0,0.10852497816085815
0.0,0.10749171674251556
0.0,0.10659616440534592
0.0,0.10580072551965714
0.0,0.10507144778966904
0.0,0.1044367179274559
0.0,0.10389228165149689
0.0,0.10343767702579498
0.004526791628450155,0.10306892544031143
0.014730039983987808,0.10278226435184479
0.024763567373156548,0.1025763526558876
0.030275912955403328,0.10241656750440598
0.031334370374679565,0.10226621478796005
0.036721475422382355,0.10215980559587479
0.037659935653209686,0.10206238180398941
0.03857304900884628,0.10197446495294571
0.04817967116832733,0.10196033120155334
0.05328323692083359,0.10198384523391724
0.06266822665929794,0.10207875072956085
0.05884190648794174,0.10214212536811829
0.050709523260593414,0.10214509814977646
0.03832881897687912,0.1020578145980835
0.030473140999674797,0.10191500186920166
0.027074240148067474,0.10174921900033951
0.019349420443177223,0.10152995586395264
0.01607506535947323,0.10129015892744064
0.012827565893530846,0.10103205591440201
0.013964492827653885,0.10078752040863037
0.006347143556922674,0.10049184411764145
0.0031744157895445824,0.10017742961645126
2.2924399672774598e-05,0.09984631836414337
0.0,0.09949871897697449
0.0,0.09910272806882858
0.0,0.09869135171175003
0.0,0.09823368489742279
0.0,0.09776322543621063
0.24316257238388062,0.09727901220321655
0.24158048629760742,0.19855818152427673
0.240006223320961,0.19873404502868652
0.238438680768013,0.19887681305408478
0.2412363886833191,0.1990518420934677
0.23962022364139557,0.19921162724494934
0.23801171779632568,0.19936200976371765
0.23641033470630646,0.19949932396411896
0.23481501638889313,0.19962285459041595
0.2332252711057663,0.19973598420619965
0.23164063692092896,0.19983981549739838
0.22570110857486725,0.199903205037117
0.21546685695648193,0.19988156855106354
0.2053537666797638,0.1997963935136795
0.19535592198371887,0.1997351050376892
0.18110856413841248,0.19960714876651764
0.16702581942081451,0.19924120604991913
0.15309925377368927,0.19891159236431122
0.13932135701179504,0.19836552441120148
0.12132584303617477,0.19769853353500366
0.10352461785078049,0.1968994289636612
0.08154941350221634,0.19615831971168518
0.06416923552751541,0.19527317583560944
0.03823497146368027,0.19426748156547546
0.012577012181282043,0.19309347867965698
0.0,0.191752627491951
0.0,0.19021621346473694
0.0,0.188524529337883
0.0,0.1866481602191925
0.0,0.18459129333496094
0.0,0.18232950568199158
0.0,0.17986853420734406
0.0,0.17724642157554626
0.0,0.17450135946273804
0.0,0.17156074941158295
0.0,0.16844280064105988
0.0,0.16518236696720123
0.0,0.16184520721435547
0.0,0.15843528509140015
0.0,0.15492144227027893
0.0,0.15130338072776794
0.0,0.1475866436958313
0.0,0.1437726467847824
0.0,0.1399279236793518
0.0,0.13602152466773987
0.0,0.13208448886871338
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.19733239710330963
0.0,0.19475942850112915
0.0,0.19228428602218628
0.0,0.18994352221488953
0.0,0.18775548040866852
0.0,0.1856885552406311
0.0,0.18370504677295685
0.0,0.18176980316638947
0.0,0.1799105852842331
0.0,0.1781286597251892
0.0,0.17638210952281952
0.0,0.17470809817314148
0.0,0.17306911945343018
0.0,0.17143495380878448
0.0,0.16979385912418365
0.0,0.16815650463104248
0.0,0.16658614575862885
0.0,0.16504208743572235
0.0,0.1635274589061737
0.0,0.1620083898305893
0.09990354627370834,0.16045138239860535
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
0.11734601855278015,0.20000000298023224
